id,sexo,edad,nivel_esc,esc_cve,lenguaje,cognitivas,sociales,tecnicas,puesto,trabajos_n,palabras_n,validaciones_n,contactos_n,rimbo_n,sostenimiento,experiencia,atractivo,confiable
2002,2,31,2,2194,1,0,2,0,2,12,55,0,242,0,0,0,2,0
2003,2,34,2,514,1,2,0,0,1,11,13,0,60,0,0,0,1,0
2004,2,31,2,712,1,4,5,5,4,10,173,16,296,3,1,1,3,1
2005,2,35,1,671,1,12,0,6,2,26,168,210,500,0,1,0,3,1
2006,1,35,1,671,0,0,1,0,4,14,14,0,500,0,1,1,3,0
2007,1,35,1,671,0,1,8,2,4,18,80,2,2019,5,1,1,3,0
2008,1,34,1,712,1,2,5,0,4,6,139,114,311,0,1,1,3,1
2009,1,31,1,712,1,2,9,0,4,18,81,27,103,0,1,1,4,1
2010,2,31,1,712,1,3,3,0,1,8,106,30,467,0,1,0,3,1
2011,2,33,2,710,1,2,0,1,4,5,61,9,500,0,1,0,3,1
2012,2,33,1,671,1,13,12,4,4,22,242,426,500,0,1,1,3,1
2013,2,31,1,671,1,3,2,0,4,16,90,48,421,3,1,1,3,1
2014,2,35,1,671,1,0,0,0,1,15,44,9,221,0,1,0,3,1
2021,1,39,1,514,1,3,2,0,2,13,125,263,500,0,0,0,3,1
2023,1,29,2,1024,1,3,1,4,4,10,117,36,246,3,0,1,2,0
2024,2,31,1,2422,1,4,15,2,4,12,161,127,500,4,0,1,3,1
2029,2,30,2,712,1,5,3,3,4,18,453,0,404,0,1,0,3,1
2030,1,35,1,590,1,9,5,2,1,12,352,114,500,0,0,1,3,0
2032,2,31,2,2169,0,0,0,0,1,12,6,0,94,0,0,0,3,0
2034,1,32,2,2169,1,5,5,3,4,16,145,58,500,0,0,0,2,0
2035,1,33,2,2169,1,0,10,1,2,22,526,104,500,0,0,1,4,1
2036,2,32,2,2169,1,5,11,1,4,16,159,121,500,0,0,0,3,1
2037,1,35,2,2169,0,9,8,1,4,12,384,0,93,0,0,1,2,0
2038,1,32,2,2169,0,7,9,7,4,14,75,0,323,0,0,1,2,0
2040,2,31,2,2169,0,0,0,0,4,8,7,0,500,0,0,0,1,0
2041,2,34,2,2169,1,9,19,1,4,26,367,260,500,0,0,0,2,1
2042,1,33,2,1623,1,2,2,2,4,11,122,7,424,0,0,0,2,0
2048,1,33,1,645,1,0,0,0,4,6,66,0,137,0,0,1,3,1
2050,1,36,2,648,1,0,1,0,4,10,43,12,500,0,0,0,2,0
2051,1,31,1,645,1,0,0,0,4,5,14,2,156,0,0,0,2,0
2054,1,29,2,1635,1,0,1,1,4,22,174,35,328,0,0,0,3,1
2055,1,31,2,1635,1,3,9,2,4,10,123,6,601,4,0,1,3,0
2056,1,34,1,1635,0,0,0,0,4,16,8,0,592,0,0,0,2,0
2058,2,33,1,1635,0,0,3,4,4,14,136,0,173,0,0,0,3,1
2059,2,36,2,1635,1,5,3,0,4,11,76,18,575,0,0,1,3,1
2060,1,33,1,1635,1,5,1,0,1,4,37,0,215,0,0,1,3,1
2063,2,35,2,2213,1,0,1,1,2,10,55,0,37,0,1,0,2,0
2064,1,30,1,2213,1,0,4,0,3,15,21,0,170,0,1,0,2,0
2065,2,31,2,2213,1,6,11,4,2,12,229,84,477,2,1,1,3,1
2066,2,35,2,2213,1,2,3,0,4,16,96,0,198,0,1,1,3,1
2067,1,35,2,2213,1,3,2,1,4,14,100,26,192,1,1,1,3,1
2068,2,31,2,2213,1,0,5,5,4,24,37,4,234,0,1,1,3,1
2069,1,35,1,2213,1,0,2,0,4,5,13,10,168,0,1,0,3,1
2070,1,36,2,2213,1,5,6,3,4,8,133,22,277,0,1,0,2,0
2071,2,35,2,2213,1,6,7,1,4,20,485,0,200,0,1,0,3,1
2072,2,36,1,2213,1,5,10,2,4,17,153,167,500,1,1,1,4,1
2073,1,36,2,2213,1,2,9,3,4,10,183,110,500,0,1,1,3,1
2074,1,31,2,2213,1,0,2,0,4,7,47,43,500,0,1,0,2,0
2083,1,40,2,1434,1,9,13,6,4,14,389,351,500,2,1,0,4,1
2084,2,34,2,1453,1,3,4,2,4,18,131,24,244,0,1,0,1,0
2087,2,33,1,1771,1,0,8,0,4,7,89,28,88,0,1,0,3,1
2088,1,31,2,1771,1,5,2,1,4,6,170,0,17,0,1,0,2,0
2090,2,32,2,1649,1,0,7,5,4,10,158,116,259,0,0,0,2,0
2091,2,33,1,1635,1,10,13,4,4,22,314,416,500,2,0,1,5,1
2092,2,30,2,1649,1,0,3,0,4,8,54,0,25,0,0,0,1,0
2093,2,31,2,1649,1,3,0,2,4,13,76,14,137,0,0,1,3,1
2095,1,31,2,1649,1,4,2,1,4,10,66,0,346,0,0,1,2,0
2097,2,33,2,1649,0,5,3,4,2,16,37,0,193,0,0,0,1,0
2098,1,31,2,1649,0,2,6,5,4,10,196,0,276,0,0,1,3,1
2099,1,30,2,1649,1,0,3,1,4,16,29,0,242,0,0,0,1,0
2100,2,30,1,1649,1,0,0,0,4,10,50,13,256,0,0,0,1,0
2101,1,30,2,1649,0,0,0,0,4,11,46,0,15,0,0,0,2,0
2102,2,31,2,1649,1,0,0,0,3,7,19,6,397,0,0,0,2,0
2104,2,32,2,1649,1,5,5,2,4,12,269,33,500,3,0,1,3,1
2105,1,28,2,1649,1,2,3,0,2,9,19,0,145,1,0,0,1,0
2106,1,31,2,1649,1,6,6,2,4,10,154,32,500,0,0,1,3,1
2107,1,33,2,1649,1,2,6,3,4,10,41,0,130,0,0,1,3,1
3002,2,33,2,712,0,0,0,0,4,14,9,2,167,0,1,0,2,0
3004,2,34,1,2169,1,10,11,1,4,22,132,151,500,3,0,0,2,0
3005,2,36,2,853,0,0,0,0,4,5,5,0,500,0,1,0,1,0
3006,2,31,1,2169,1,4,4,1,4,28,87,97,500,4,0,0,3,0
3007,2,36,2,1453,1,0,2,0,1,19,85,124,500,0,1,0,1,0
3008,1,30,1,651,1,10,8,2,4,12,92,26,164,5,0,0,3,0
3009,2,30,2,2422,1,0,5,0,4,8,21,17,500,0,0,0,1,0
3010,2,34,2,1623,1,0,1,3,4,6,82,0,49,0,0,0,2,0
3011,1,35,2,693,1,4,0,0,4,10,92,17,204,3,1,0,2,0
3012,1,33,1,712,1,5,3,0,4,10,94,65,169,0,1,0,2,0
3013,2,34,1,1056,1,0,2,2,4,5,43,39,344,0,1,0,1,0
3014,2,34,1,712,1,0,3,0,4,16,48,66,500,0,1,1,3,1
3015,2,31,2,1623,1,2,3,1,4,8,25,8,500,0,0,0,2,0
3016,1,35,2,632,1,0,0,2,4,9,14,17,379,0,0,0,1,0
3017,2,35,2,1902,0,0,1,0,4,9,30,0,321,0,1,0,2,0
3018,1,36,2,2169,1,10,5,1,4,10,91,38,500,0,0,0,3,1
3019,1,34,2,855,1,0,0,0,4,22,47,10,259,0,1,1,2,0
3020,2,35,2,2169,1,3,3,0,2,16,55,36,500,3,0,1,5,0
3022,2,35,1,712,1,0,0,0,4,8,21,11,167,0,1,1,2,0
3023,2,34,2,1187,1,0,0,0,4,10,46,0,500,0,1,1,3,1
3025,1,36,1,806,1,0,3,0,4,14,67,53,500,0,1,1,3,1
3026,1,31,2,627,1,2,4,0,4,6,40,13,139,0,0,0,3,1
3027,1,34,1,2213,0,0,0,0,4,14,27,0,500,0,1,0,3,0
3029,1,35,2,465,1,0,0,1,4,10,12,4,500,0,1,0,1,0
3037,2,32,1,1623,1,0,0,0,4,14,26,8,263,0,0,0,3,1
3038,1,34,2,2169,0,2,4,1,2,12,97,0,500,2,0,1,3,0
3039,2,34,2,484,1,0,4,0,4,10,18,8,423,0,0,0,1,0
3040,2,35,2,2169,1,1,3,0,4,8,43,35,438,1,0,1,3,0
3041,1,34,2,627,1,0,0,1,4,10,56,32,500,2,0,0,2,0
3042,1,37,2,590,1,2,2,0,4,19,30,13,209,0,0,0,3,1
3043,2,36,2,2169,0,2,0,0,4,10,26,0,452,0,0,0,3,1
3045,2,33,2,2897,0,0,0,2,4,5,16,0,180,0,1,1,2,0
3046,2,33,2,1402,1,3,0,3,4,10,23,2,260,1,0,1,3,1
3047,2,34,2,627,1,0,4,1,4,10,28,31,500,0,0,0,1,0
3052,2,36,2,810,1,0,0,2,4,14,47,11,486,2,1,0,3,0
3054,2,32,2,3258,1,0,0,0,4,10,61,109,500,0,0,0,3,1
3055,2,31,2,1623,1,2,0,0,4,7,51,48,500,0,0,0,2,0
3056,1,33,1,645,1,0,2,1,4,16,29,2,467,0,0,1,3,0
3057,1,36,1,712,1,0,0,0,4,16,55,65,500,0,1,0,2,0
3063,2,33,2,3400,1,5,2,0,4,7,26,9,160,0,1,0,3,1
3064,1,35,2,649,0,2,2,1,4,26,79,0,500,1,0,1,3,0
3065,1,30,2,710,0,2,4,1,4,10,33,0,75,0,1,0,3,1
3067,2,35,2,693,1,5,0,3,4,4,34,0,44,0,1,1,3,1
3068,2,33,2,3400,1,0,0,1,2,6,14,0,12,0,1,0,2,0
3069,1,29,2,1667,0,0,0,0,4,2,11,0,28,0,0,0,2,0
3070,1,33,2,2948,1,0,1,0,4,10,84,85,500,0,1,0,2,0
3071,1,32,2,3386,0,2,0,0,4,10,40,0,269,1,1,1,3,1
3072,2,36,1,2213,1,1,2,0,4,8,48,0,178,0,1,0,2,0
3073,1,35,2,1273,1,0,3,0,4,14,52,1,500,2,1,1,1,1
3074,2,36,2,144,1,0,4,2,2,10,31,2,320,0,1,1,3,1
3075,2,33,2,712,1,2,0,2,4,14,33,2,93,3,1,1,3,1
3076,1,33,2,1453,0,5,2,0,4,10,22,0,500,0,1,0,2,0
3077,2,29,2,511,1,0,2,0,4,13,49,14,359,2,0,1,3,0
3079,2,30,2,1019,1,0,0,0,4,5,41,7,209,0,0,0,1,0
3082,1,34,1,712,1,0,0,1,4,9,23,9,207,0,1,0,1,1
3084,1,34,2,40,0,0,0,0,4,13,5,0,500,0,1,0,1,0
3085,2,32,1,2169,1,0,3,0,4,10,59,28,500,0,0,0,2,0
3086,1,35,2,2169,0,0,1,0,2,14,6,6,500,0,0,0,3,0
3088,2,35,2,650,1,0,3,1,2,14,21,13,443,0,0,0,1,0
3089,1,33,1,2169,1,0,0,0,4,13,37,30,500,0,0,0,3,1
3090,1,31,2,693,0,0,0,0,4,10,44,0,264,0,1,0,2,0
3091,1,32,1,645,1,0,2,0,2,7,61,8,500,0,0,0,2,0
3093,1,32,2,1668,1,0,1,1,4,9,36,0,6,0,0,0,3,1
3094,1,35,2,3400,1,0,0,1,4,10,35,9,411,0,1,0,3,1
3095,2,30,1,1623,1,3,4,1,4,10,34,18,209,0,0,1,2,0
3097,2,32,2,712,1,3,1,2,4,10,68,4,500,0,1,1,3,1
3098,1,35,1,2169,1,1,1,0,2,18,48,76,500,0,0,0,4,0
3099,2,36,2,3400,0,0,0,0,4,8,8,0,114,0,1,0,3,0
3100,1,28,2,1066,1,2,1,1,4,10,33,0,30,2,1,1,3,1
3101,2,31,2,450,1,0,0,2,4,14,62,28,116,0,1,1,3,1
3102,1,32,2,2213,1,3,2,0,4,10,31,9,479,0,1,1,2,0
3103,2,33,1,1024,1,0,0,0,4,2,48,5,358,2,0,0,3,1
3104,1,35,2,1056,1,0,0,0,4,6,31,5,113,0,1,0,2,0
3106,2,34,2,712,1,1,0,0,1,21,31,0,242,0,1,0,4,0
3107,2,31,2,1771,1,0,2,0,4,10,47,18,125,2,1,1,4,1
3108,2,31,2,3350,1,2,0,1,4,8,21,0,500,0,0,0,2,0
3109,2,29,2,2422,1,2,2,1,4,26,32,6,500,0,0,0,3,0
3110,1,33,1,1635,1,0,0,0,4,12,66,0,340,0,0,1,2,0
3111,1,33,1,3371,1,0,0,0,4,10,76,57,500,2,1,1,3,0
3112,2,31,2,651,1,0,1,0,4,9,16,0,75,0,0,0,2,0
3113,1,30,2,1897,1,0,1,1,2,14,9,0,63,0,1,0,3,0
3115,1,34,2,1755,1,0,0,0,2,10,20,5,114,0,1,0,2,1
3116,1,32,2,2213,1,1,0,0,4,10,119,10,313,0,1,0,2,0
3118,2,33,1,2536,0,0,0,0,4,10,4,0,113,0,0,0,1,0
3119,2,32,1,712,1,0,4,0,4,12,57,9,362,0,1,0,2,0
3120,2,35,1,712,1,2,0,0,4,14,41,0,300,0,1,1,3,1
3121,1,32,2,712,1,0,0,0,1,14,59,48,500,0,1,1,3,1
3122,1,27,2,712,1,2,1,1,4,8,65,0,113,1,1,1,2,0
3123,2,30,2,712,1,3,1,0,2,10,72,0,500,0,1,0,1,0
3124,1,33,1,1453,1,2,1,2,4,10,50,3,199,2,1,0,5,1
3125,1,33,2,1453,1,4,2,1,4,10,83,73,500,0,1,1,4,1
3126,1,31,2,1771,1,0,0,0,3,10,20,0,254,0,1,0,2,0
3127,2,29,2,1453,1,4,0,4,4,4,70,0,66,3,1,1,3,1
3128,1,35,2,1453,1,0,0,0,4,10,50,2,288,0,1,0,5,1
3129,2,31,2,1453,1,3,1,0,3,23,72,22,500,0,1,0,3,1
3130,1,31,2,2897,1,0,0,0,4,10,57,5,109,0,1,1,3,1
3131,2,30,1,2897,1,0,0,0,4,7,27,0,155,0,1,0,2,0
3132,1,31,2,2897,1,2,2,0,2,8,16,2,121,0,1,0,2,0
3133,2,35,2,2897,1,1,2,3,4,10,77,0,500,0,1,1,3,1
3134,1,31,2,2897,1,1,1,1,4,8,51,3,500,0,1,0,3,1
3135,1,31,1,2897,0,0,0,0,4,7,4,0,500,0,1,0,2,0
3136,2,31,2,147,1,0,0,0,4,14,46,11,300,0,1,0,1,0
3137,2,30,1,147,1,0,1,1,4,8,19,2,250,0,1,0,2,0
3138,1,31,2,147,0,0,1,5,4,10,54,0,191,3,1,0,2,0
3139,1,34,1,147,1,2,1,0,4,14,50,13,500,0,1,1,1,0
3140,1,31,1,147,0,0,1,0,4,16,32,0,219,5,1,1,5,1
3141,2,32,2,147,0,0,0,0,2,8,5,0,353,0,1,0,1,0
3142,2,31,2,147,0,0,0,0,4,10,14,0,175,0,1,0,2,1
3143,2,30,2,651,1,0,1,3,4,4,41,0,43,0,0,0,2,0
3144,1,35,2,651,1,0,0,1,4,4,57,20,500,0,0,1,3,1
3145,2,29,1,651,0,2,2,1,4,13,28,0,66,0,0,1,3,1
3146,1,33,2,651,0,4,0,0,4,10,52,0,208,0,0,1,3,1
3147,1,31,2,651,1,1,0,1,2,14,38,0,401,0,0,0,3,1
3148,2,34,1,2958,1,0,2,0,2,7,49,0,29,0,1,0,3,1
3149,1,33,2,2958,1,1,0,1,4,12,49,36,265,2,1,0,2,0
3150,2,33,2,2958,1,0,2,0,4,10,10,0,265,0,1,0,2,0
3151,1,33,2,2948,1,0,0,0,4,10,69,0,342,0,1,1,2,1
3152,2,32,2,2958,0,0,0,0,4,16,3,0,500,0,1,0,1,0
3153,2,31,2,3400,1,1,0,0,4,10,39,0,83,0,1,1,3,1
3154,2,32,1,3400,1,0,1,2,4,8,64,0,162,0,1,0,2,1
3155,1,35,2,3400,1,0,1,4,4,10,68,0,481,3,1,1,5,1
3156,2,33,1,3400,1,0,0,2,2,12,104,0,304,0,1,0,3,1
3157,2,35,1,3400,1,1,0,1,4,10,35,11,166,0,1,1,3,1
3158,1,31,2,3400,1,0,3,0,4,10,31,0,456,1,1,1,5,1
3159,2,31,1,3400,1,0,0,1,4,8,9,0,141,0,1,0,1,0
3160,1,30,2,3400,0,0,1,0,4,8,26,0,435,3,1,0,4,1
3161,2,32,1,3400,1,0,0,1,4,14,63,2,118,0,1,1,3,1
3162,2,35,2,3400,1,0,0,2,2,10,9,0,65,1,1,0,1,0
